,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
315,bourail,100,NC,1578408238,81,-21.57,165.5,70.34,3.62
316,beira,8,ES,1578408238,82,43.2,-8.36,57.99,8.05
317,nouadhibou,100,MR,1578408238,27,20.93,-17.03,73.4,19.46
318,hami,0,CN,1578408238,53,42.84,93.51,17.6,3.87
319,celestun,79,MX,1578408239,74,20.87,-90.4,72.86,10.18
320,hun,75,BE,1578408239,87,50.34,4.87,48.0,16.11
321,college,95,US,1578408239,73,64.86,-147.8,-23.01,1.41
322,hithadhoo,65,MV,1578408161,75,-0.6,73.08,84.25,15.73
323,muli,88,CN,1578408239,88,28.08,109.56,42.73,8.01
324,ozuluama,0,MX,1578408239,72,21.12,-98.35,63.07,3.11
325,maningrida,100,AU,1578408239,84,-12.05,134.23,77.85,8.34
326,natal,75,BR,1578408239,49,-5.81,-35.21,91.4,11.41
327,caravelas,64,BR,1578408239,68,-17.73,-39.27,86.94,9.71
328,killybegs,90,IE,1578408239,100,54.63,-8.45,55.4,16.11
329,raudeberg,75,NO,1578408239,80,61.99,5.14,45.0,28.86
330,falun,90,SE,1578408239,81,60.61,15.63,43.0,10.29
331,hamilton,90,CA,1578407992,79,43.26,-79.87,35.01,6.93
332,bagotville,40,AU,1578408239,88,-28.98,153.42,73.0,3.36
333,mehamn,100,NO,1578408239,92,71.03,27.85,33.8,29.97
334,iquitos,0,PE,1578408240,100,-3.75,-73.25,42.8,5.82
335,marystown,46,CA,1578408240,83,47.17,-55.16,24.06,2.8
336,victor harbor,0,AU,1578408240,68,-35.55,138.62,75.99,13.87
337,shahr-e kord,0,IR,1578408240,59,32.33,50.85,35.6,4.7
338,guerrero negro,62,MX,1578408240,44,27.97,-114.04,55.9,2.8
339,lugo,51,ES,1578408240,47,43.01,-7.56,62.01,1.99
340,gongzhuling,100,CN,1578408240,98,43.5,124.81,4.78,8.37
341,changying,0,CN,1578408240,93,52.87,123.32,-4.27,3.85
342,antofagasta,0,CL,1578407989,64,-23.65,-70.4,71.6,9.17
343,manado,40,ID,1578408240,94,1.49,124.85,75.2,3.36
344,kaniama,97,CD,1578408240,84,-7.57,24.18,77.45,2.28
345,brae,75,GB,1578408240,87,60.4,-1.35,50.0,27.51
346,yurla,83,RU,1578408240,96,59.33,54.32,6.51,4.63
347,mackay,90,CA,1578408240,77,53.65,-115.58,5.0,5.82
348,vikhorevka,0,RU,1578408240,85,56.12,101.17,10.4,6.71
349,cidreira,0,BR,1578408241,83,-30.17,-50.22,77.05,14.41
350,wilmington,1,US,1578408025,59,39.75,-75.55,39.99,4.43
351,tilichiki,100,RU,1578408241,95,60.47,166.1,3.69,6.11
352,vilhena,100,BR,1578408241,69,-12.74,-60.15,79.66,8.57
353,coari,39,BR,1578408241,55,-4.09,-63.14,89.89,6.26
354,tefe,32,BR,1578408241,66,-3.35,-64.71,87.8,10.29
355,san carlos de bariloche,40,AR,1578408241,54,-41.13,-71.31,57.2,26.4
356,uruzgan,13,AF,1578408241,78,32.93,66.63,12.38,5.86
357,emerald,63,AU,1578408241,73,-23.53,148.16,77.0,9.17
358,jalingo,36,NG,1578408241,18,10.3,10.93,90.12,10.56
359,mayo,90,CA,1578408241,68,63.59,-135.9,-18.4,6.93
360,sola,79,TZ,1578408142,62,-3.17,33.8,78.22,1.43
361,okato,81,NZ,1578408241,71,-39.19,173.88,48.0,3.0
